,name,location
167,원주단계봉화산점,강원도 원주시 단계동봉화로 34
168,원주단계제일점,강원도 원주시 천사로 12 성우프라자1층 108호
169,원주단구점,강원도 원주시 남원로 534번길 28단구동
170,원주단구초교점,강원 원주시 단구동81-7번지
171,원주단구토지길점,강원도 원주시 단구동토지길 31 101
172,원주동신점,"강원도 원주시 행구로 102,동신아파트상가동101호, 104호"
173,원주만종점,강원도 원주시 원문로 4001층
174,원주매지점,강원도 원주시 흥업면 세동길 54
175,원주명륜본점,강원도 원주시 남원로 657-1명륜동
176,원주명륜원룸점,강원도 원주시 소방서길 111층(명륜동)
177,원주명륜으뜸점,강원도 원주시 남원로469번길 1-3(명륜동)
178,원주명륜점,강원도 원주시 한지공원길 24명륜동
179,원주무실주공점,강원도 원주시 시청로 92-1상가동102호 103호(무실동)
180,원주문막건등점,강원도 원주시 문막읍 건등로 70
181,원주문막대로점,강원도 원주시 원문로 1423제가동호
182,원주문막동화점,강원도 원주시 왕건로 99상가동 1층 가호(성우아파트)
183,원주문막점,강원도 원주시 문막읍 문막시장 1길 21
184,원주반곡혁신점,강원도 원주시 봄마중길 16
185,원주법원점,강원도 원주시 봉바위길 31층
186,원주법조타운점,강원도 원주시 능라동길 631층 105호
187,원주부론점,강원도 원주시 법천시장길 37
188,원주사제거장점,"강원도 원주시 흥업면 사제로 483,101, 102호 (거장상가)"
189,원주상지대점,강원도 원주시 북원로 2475번길86-5(우산동)
190,원주서곡점,강원도 원주시 매봉길 2
191,원주선아점,"강원도 원주시 치악로 1648, 가동 106호(단구동, 선아아파트 가동 106호~107호)"
192,원주성일점,"강원도 원주시 단구로 418상가동 1층 104호(단구동, 성일아파트)"
193,원주성지병원점,강원도 원주시 원일로 22인동
194,원주신림점,강원도 원주시 신림면 치악로 39
195,원주에버빌점,"강원도 원주시 늘품로 36단구동,현진에버빌2차 상가 101"
196,원주영진점,강원 원주시 학성동238-2번지
197,원주우산제일점,강원도 원주시 북원로 24871층(우산동)
198,원주원동점,강원도 원주시 무실로 119-2상가동 1층 104호(원동)
199,원주원문로점,강원도 원주시 원문로 1431층 101호 (단계동)
200,원주원흥점,강원도 원주시 단구동치악로 1634 상가동101~102호
201,원주이화점,강원도 원주시 한지공원길 196 (단계동)
202,원주인터불고점,강원도 원주시 동부순환로 200(반곡동)㈜호텔인터불고원주컨벤션호텔
203,원주중앙대로점,강원도 원주시 천사로 2271층 편의점(중앙동)
204,원주채움점,강원도 원주시 능라동길 301층113호(무실동)
205,원주천매점,"강원도 원주시 천매봉길 32(단구동,101호)"
206,원주천사로점,강원도 원주시 천사로 1691층(일산동)
207,원주청솔점,강원도 원주시 단구동남원로 494
208,원주치악고점,강원도 원주시 치악고교길 9관설동
209,원주치악로점,강원도 원주시 치악로 1602(단구동)
210,원주치악점,강원도 원주시 치악로 19641층 태장동
211,원주태장대로점,강원도 원주시 북원로 2704-2(태장동)
212,원주태장점,강원도 원주시 북원로 2899태장동
213,원주태장정암점,강원도 원주시 흥양로 98 제판매시설동 1층103 104호(태장동 정암아파트)
214,원주태장주공점,"강원도 원주시 치악로 2050-1 102호, 103호(태장동, 태장천년나무LH아파트상가동)"
215,원주학성점,강원도 원주시 중앙로 190학성동
216,원주한라대점,강원도 원주시 한라대길 5
217,원주한신점,강원도 원주시 송림길 40-211층(개운동)
218,원주혁신미래점,"강원도 원주시 반곡동1905-1, 1층 102호"
219,원주혁신중흥점,"강원도 원주시 배울로 24, 1층 15호(반곡동,중흥S클래스 프라디움아파트상가)"
220,원주현충로점,강원도 원주시 현충로 320-11층 편의점(태장동)
221,원주흥업점,강원도 원주시 흥업면 남원로 82
222,원통제일점,강원도 인제군 북면 원통로170(북면)
223,인제로드점,강원도 인제군 원통로 261
224,인제상남점,강원도 인제군 상남면내린천로2554
225,인제신남터미널점,강원도 인제군 신남로 23
226,인제천도리점,강원도 인제군 서화면 천도촌1길7
227,인제하늘내린점,강원 인제군 인제읍 상동리318
228,정동진점,강원도 강릉시 강동면 정동역길 12
229,정동진해변점,강원도 강릉시 강동면 헌화로989
230,정선고한점,강원도 정선군 고한읍고한로 165
231,정선고한중앙점,강원도 정선군 고한읍 고한로 97
232,정선무릉점,강원도 정선군 무릉1로89 남면
233,정선북실점,강원도 정선군 정선로 1245-6 미소빌아파트
234,정선사북교차로점,강원도 정선군 사북읍사북1길 54
235,정선사북점,강원도 정선군 사북읍사북2길 30
236,정선점,강원도 정선군 정선읍봉양6길 27
237,정선함백점,강원도 정선군 함백로 330
238,주문진교항점,강원도 강릉시 주문진읍 매맥이길4
239,주문진읍점,강원도 강릉시 주문로 121-2
240,주문진터미널점,강원도 강릉시 주문로 61호
241,철원고석정점,강원도 철원군 동송읍 태봉로 1825
242,철원긴발리점,강원도 철원군 동송읍 금학로62동송읍)
243,철원동송점,강원도 철원군 금학로 227 김현대내과1층
244,철원동송터미널점 B,강원도 철원군 동송읍 금학로212
245,철원문혜리점,강원도 철원군 두루미로 54
246,철원성모병원점,강원도 철원군 동송읍 금락로 167번길23-16
247,철원와수리점,강원도 철원군 서면 와수리 173번길8
248,철원화지리점,강원도 철원군 동송읍 금락로269
249,춘천강남점,강원도 춘천시 춘주로92번길 21-2(온의동)
250,춘천거두공단점,강원도 춘천시 순환대로 940
251,춘천거두점,강원도 춘천시 춘천순환로72번길 161층
252,춘천공지천점,강원도 춘천시 수변공원길 18의양공원 내 매점 (삼천동)
253,춘천교동점,강원도 춘천시 교동길 67
254,춘천금호점,강원 춘천시 퇴계동945 금호아파트상가 1층 29호
255,춘천남부점,강원도 춘천시 공지로354(효자동)
256,춘천남춘로점,강원도 춘천시 남춘로36 (효자동)
257,춘천당림점,강원도 춘천시 서면 경춘로969(서면)
258,춘천동부시장점,강원도 춘천시 서부대성로 140-2(문교동)
259,춘천뜨란체점,강원도 춘천시 안마산로324-9(석사동)
260,춘천만천리점,강원도 춘천시 동면 만천로145-1
261,춘천만천쉼터점,강원도 춘천시 만천로 110
262,춘천명동길점,강원도 춘천시 명동길 23
263,춘천보람점,강원도 춘천시 도화길5 1층
264,춘천본점,강원도 춘천시 퇴계로21
265,춘천새마을고개점,"강원도 춘천시 법원뒷길26, 1층(효자동)"
266,춘천석사점,강원도 춘천시 애막골길 11번길22(석사동)
267,춘천석사제일점,강원도 춘천시 벌말길 1111층(석사동)
268,춘천석사중앙점,강원도 춘천시 우석로79번길9(석사동)
269,춘천석사효석점,강원도 춘천시 후석로45번길36 (석사동)
270,춘천소양강점,강원도 춘천시 신북읍 상천3길4(신북읍)
271,춘천스무숲점,강원 춘천시 석사동927-1
272,춘천애막골점,강원도 춘천시 애막골길11번길34(석사동)
273,춘천에버빌점,강원도 춘천시 석사동지석로115 (101102호)
274,춘천예준점,강원도 춘천시 둥지길47번길 4(효자동)
275,춘천온의점,강원도 춘천시 영서로 2279번길9(온의동)
276,춘천요선점,강원도 춘천시 소양고개길60 (요선동)
277,춘천우두복지점,강원도 춘천시 충열로 1 -16우두동
278,춘천우두점,강원도 춘천시 충열로10-14(우두동)
279,춘천우두풍년점,강원도 춘천시 충열로 78(우두동)
280,춘천우석로점,강원도 춘천시 우석로 14-1(석사동)
281,춘천유앤아이점,강원도 춘천시 만천로143번길 52
282,춘천이안점,"강원도 춘천시 영서로 2169-1분산상가동 101호, 102호(퇴계동, 퇴계이안)"
283,춘천장학주공점,강원도 춘천시 소양강로 100-1 춘천장학엘에이치1단지제상가동 제1층 제103호
284,춘천제일점,강원도 춘천시 동내면 거두택지길26번길22
285,춘천주공타운점,강원도 춘천시 퇴계로 145번길4(퇴계동)
286,춘천지석로점,"강원도 춘천시 지석로29(퇴계동, 퇴계주공5차)"
287,춘천천전리점,강원도 춘천시 신샘밭로 648
288,춘천크리스탈점,강원도 춘천시 석사동퇴계로249 105-2호
289,춘천퇴계마루점,강원도 춘천시 퇴계농공로 12 로얄프라자1동 109호
290,춘천학곡리점,강원도 춘천시 동내면 영서로1776 107호
291,춘천한림대에리트,강원도 춘천시 후평동삭주로 89-8
292,춘천한림대점,강원도 춘천시 봉의산길22번길 24-11층
293,춘천한미점,강원도 춘천시 백령로 23번길17-3(효자동)
294,춘천향교점,강원도 춘천시 교동길 8-11층
295,춘천현대점,강원도 춘천시 춘천로68번길16(효자동)
296,춘천효자원룸점,강원도 춘천시 효자동40-6 번지
297,춘천후석로점,강원도 춘천시 후석로 468
298,춘천후평점,강원도 춘천시 후평동(춘천로 382)
299,춘천CGV점,강원도 춘천시 지석로 74-11 퇴계시장형상가A-16호
300,태백대학길점,강원도 태백시 황지동 404-3
301,태백로점,강원 태백시 태백로437 화전동
302,태백번영로점,강원도 태백시 번영로 171층
303,태백예채점,강원도 태백시 대학길 79 이원예체
304,태백중앙점,강원도 태백시 번영로354 황지동
305,태백황지공원점,강원도 태백시 황지연못길 13(황지동)
306,팔호광장점,강원도 춘천시 효자로147(호자동)
307,평창대화점,강원도 평창군 대화면대화중앙로 55
308,평창스카이테라점,강원도 평창군 대관령면 솔봉로 278-84101동
309,평창종부점,강원도 평창군 평창읍 종부로72
310,평창중리점,강원도 평창군 노성로 212
311,평창진부시대점,강원도 평창군 진부면 하진부리164-15
312,평창휴게소점,강원도 평창군 탑거리길 63 평창상휴게소
313,평창흥정계곡점,강원도 평창군 흥정계곡길 9
314,포남공원점,강원도 강릉시 경강로2301번길 171층
315,포남으뜸점,강원도 강릉시 강릉대로422-7 카리스마 나이트101호
316,홍천꽃뫼로점,강원도 홍천군 꽃뫼로 133
317,홍천비발디점,강원도 홍천군 한서로 2189
318,홍천시동점,강원도 홍천군 남면 시동리 916-33
319,홍천양덕원점,강원도 홍천군 남면 양덕원로84(남면)
320,홍천오션점,강원도 홍천군 한치골길 813
321,홍천점,강원도 홍천군 홍천읍 신장대로62(홍천읍)
322,홍천주공점,강원도 홍천군 홍천읍 갈마로28(홍천읍)
323,홍천청계점,강원 홍천군 남면양덕원리 154-4번지
324,홍천화랑점,강원도 홍천군 남면가작골길 3
325,홍천힐링캠프점,강원도 홍천군 남면 설악로 99
326,화천광덕초교점,강원도 화천군 사내면 포화로810
327,화천데시앙점,"강원도 화천군 화천읍 상승로8길 25-13, 1층"
328,화천동보점,강원도 화천군 노신로 82-12상가동 1층(동보빌리지)
329,화천산양리점,강원도 화천군 상서면영서로 7717
330,화천산천어점,강원도 화천군 화천읍 상리 2-36 1층
331,화천점,강원 화천군 화천읍 하리42-12
332,화천중앙로점,강원도 화천군 화천읍 중앙로34
333,횡계동보점,강원도 평창군 대관령면 대관령마루길52
334,횡계에이스점,강원도 평창군 대관령로 116
335,횡계점,강원도 평창군 대관령면 횡계길 34
336,횡성경찰서점,강원도 횡성군 성북동로 111층
337,횡성대로점,강원도 횡성군 횡성읍 횡성로 368
338,횡성둔내대박점,"강원도 횡성군 둔내면 둔내로27, 1층"
339,횡성둔내점,강원도 횡성군 둔내면 둔내로 51번길 20
340,횡성점,"강원도 횡성군 북천로 2 , 1층"
341,횡성터미널점,강원도 횡성군 앞들서1로 21-71층
342,간성읍점,강원도 고성군 간성로 39-2
343,강대사거리점,강원도 춘천시 백령로 1381층 편의점
344,강대천하점,강원도 춘천시 백령로75 (효자동) 1층
345,강릉5주공점,강원도 강릉시 월대산로 431층 102호
346,강릉경강로점,강원도 강릉시 경강로2258  (포남동)
347,강릉곶감점,강원도 강릉시 곶감전길9  (성남동)
348,강릉교동대로점,강원도 강릉시 화부산로 231층
349,강릉교동센트럴점,강원도 강릉시 교동광장로100번길 20(교동)
350,강릉교동점,강원도 강릉시 하슬라로 206번길17  (교동)
351,강릉교동하슬라점,강원도 강릉시 하슬라로 139
352,강릉금진항점,강원도 강릉시 옥계면헌화로 443
353,강릉노암점,강원도 강릉시 율곡로 2738번길1
354,강릉대림점,강원도 강릉시 노암동남부로 137번길 26
355,강릉대원룸점,강원도 강릉시 지변길 1751층(지변동)
356,강릉대자연관점,강원도 강릉시 지변동죽헌길7
357,강릉대학생복지관점,강원도 강릉시 지변동죽헌길7
358,강릉더샵점,강원도 강릉시 입암동입암로29번길 11 101호
359,강릉동부시장점,강원도 강릉시 옥천동(옥가르50번길 3)
360,강릉동인병원점,강원도 강릉시 강릉대로419번길 231층
361,강릉명륜점,강원도 강릉시 임영로 2421층
362,강릉문화점,강원 강릉시 강릉대로 210번길24(임당동)
363,강릉상아점,강원도 강릉시 옥천로 62번길1  (옥천동)
364,강릉선수촌점,강원도 강릉시 선수촌로 110(유천동)
365,강릉성덕점,강원도 강릉시 입암동입암로91번길 46
366,강릉성산점,강원도 강릉시 성산면 구산길 98
367,강릉소금강점,강원도 강릉시 연곡면 진고개로 1507
368,강릉송정점,강원도 강릉시 팔송길 271층(송정동)
369,강릉심곡점,강원도 강릉시 헌화로 670
370,강릉씨네몰점,강원도 강릉시 옥천동경강로 2120 630호
371,강릉아산병원점,강원도 강릉시 방동길 19
