"행정구역별(시군구)",2016,2016,2016,2016,2016,2016,2016,2016
"행정구역별(시군구)",일반가구_계,1인,2인,3인,4인,5인,6인,7인 이상
"양주시",71155,15079,19453,16081,14559,4517,1087,379
"포천시",57054,16366,16400,11462,8805,2915,805,301
"여주시",40587,10789,12401,8097,6248,2123,641,288
"연천군",18077,5999,5496,3185,2177,869,262,89
"가평군",23628,7515,7585,4203,2853,1013,335,124
"양평군",41328,12173,13195,7485,5675,1958,597,245
"강원도",616346,197917,180639,117408,86362,25441,6477,2102
"읍부",105134,33268,32244,19607,13741,4559,1269,446
"면부",143401,51581,47352,23299,13827,5100,1597,645
"동부",367811,113068,101043,74502,58794,15782,3611,1011
"춘천시",109690,33454,29393,22110,17916,5175,1254,388
"원주시",131233,39399,34931,26848,22333,5968,1354,400
"강릉시",88622,29554,25808,16719,12077,3371,859,234
"동해시",35990,10054,11128,7443,5385,1517,376,87
"태백시",19380,6325,6269,3506,2351,676,183,70
"속초시",32809,10011,10130,6505,4602,1207,270,84
"삼척시",29243,10647,9072,5038,3199,960,243,84
"홍천군",27220,8349,8988,4975,3329,1109,346,124
"횡성군",17421,5118,6319,3114,1832,711,226,101
"영월군",16163,5551,5637,2725,1524,506,159,61
"평창군",17269,5732,5814,3091,1780,604,167,81
"정선군",15347,5128,5331,2651,1449,559,176,53
"철원군",18526,6323,5215,3292,2424,903,256,113
"화천군",11057,4766,2796,1662,1201,468,115,49
"양구군",9331,3439,2586,1588,1169,400,113,36
"인제군",12840,4549,3634,2237,1666,550,147,57
"고성군",12982,5723,3713,1957,1022,405,118,44
"양양군",11223,3795,3875,1947,1103,352,115,36
"충청북도",617914,187377,170184,121917,99555,29534,7075,2272
"읍부",120388,35713,33030,23714,19807,6149,1485,490
"면부",137035,48001,47435,21807,12679,4890,1563,660
"동부",360491,103663,89719,76396,67069,18495,4027,1122
"충주시",85152,27502,24374,16459,12081,3566,855,315
"제천시",55381,17451,17119,10424,7404,2244,565,174
"청주시",314331,89676,76033,66605,60539,16771,3667,1040
"상당구",62532,15078,16564,13887,12312,3579,858,254
"서원구",82290,23598,19747,17357,16037,4334,934,283
"흥덕구",97008,29523,22614,20170,18288,5056,1085,272
"청원구",72501,21477,17108,15191,13902,3802,790,231
"보은군",13780,4424,5108,2205,1239,533,192,79
"옥천군",19864,5368,7182,3557,2468,900,262,127
"영동군",20873,7307,6839,3429,2081,826,294,97
"진천군",26817,8048,7869,5000,4089,1350,347,114
"괴산군",16214,5897,5924,2450,1209,491,173,70
"음성군",38634,13231,11262,6874,5009,1669,443,146
"단양군",12311,3946,4511,2128,1144,411,122,49
"증평군",14557,4527,3963,2786,2292,773,155,61
"충청남도",813730,247056,229782,156005,128810,38855,9648,3574
"읍부",184703,54284,53541,35604,29037,9145,2269,823
"면부",270636,85776,92216,46564,30003,11031,3490,1556
"동부",358391,106996,84025,73837,69770,18679,3889,1195
"천안시",238778,75329,53863,48135,46029,12100,2531,791
"동남구",102415,32514,24565,20072,18550,5137,1190,387
"서북구",136363,42815,29298,28063,27479,6963,1341,404
"공주시",43921,14114,13526,7915,5477,1951,667,271
"보령시",40782,12022,13715,7430,5197,1739,478,201
"아산시",113605,32456,28077,23079,21971,6251,1336,435
"서산시",64727,17746,18995,13259,10616,3104,724,283
