loc1,loc2,name,location
서울,마포구,GS25마포성산로점,서울 마포구 월드컵북로204 (성산2동 148-51)
서울,마포구,GS25마포성산점,"서울 마포구 월드컵북로121, 1층 (성산1동 53-2)"
서울,마포구,GS25마포성지점,"서울 마포구 도화동성지빌딩538, 106 107호"
서울,마포구,GS25마포센티움점,"서울 마포구 월드컵로36길14, 1동 108호(성산2동 590-1, 상가)"
서울,마포구,GS25마포신수점,"서울 마포구 광성로4길11-10, 1층(신수동 88-16)"
서울,마포구,GS25마포양화로점,"서울 마포구 양화로10길15, 1층 일부 (서교동 395-171, I.O빌딩)"
서울,마포구,GS25마포역점,"서울 마포구 토정로320, 1층 (용강동 51-8, 백남빌딩)"
서울,마포구,GS25마포연남점,"서울 마포구 성미산로29안길25, 1층 전체 (연남동 241-87)"
서울,마포구,GS25마포영진점,"서울 마포구 마포대로63-8 (도화동 173, 삼창프라자1층3-1호)"
서울,마포구,GS25마포풍림점,"서울 마포구 마포대로127, 104호(공덕동 404, 풍림VIP텔)"
서울,마포구,GS25마포하이엘점,"서울 마포구 마포대로173, 107호(공덕동 463, 현대하이엘)"
서울,마포구,GS25마포한강점,"서울 마포구 월드컵로3길14, 208호 209호 (합정동 473, 마포한강2차푸르지오)"
서울,마포구,GS25마포한림점,서울 마포구 포은로67(망원1동 394-86)
