,loc,gs,cu,seven,stores,ppl,1p,1p_ratio,loc1,loc2,store_ratio
82,경기 동두천시,30.0,24.0,40.0,94.0,36740.0,10044.0,0.273380511703865,경기,동두천시,0.0022903925342949733
144,충남 공주시,30.0,18.0,46.0,94.0,43921.0,14114.0,0.321349696045172,충남,공주시,0.0022903925342949733
104,경기 여주시,32.0,33.0,28.0,93.0,40587.0,10789.0,0.2658240323256215,경기,여주시,0.0022660266562705587
198,경북 김천시,35.0,26.0,30.0,91.0,55285.0,16847.0,0.30473003527177356,경북,김천시,0.0022172949002217295
43,대구 서구,20.0,24.0,46.0,90.0,79496.0,23715.0,0.29831689644762,대구,서구,0.002192929022197315
93,경기 의왕시,32.0,15.0,42.0,89.0,53705.0,10543.0,0.19631319244018247,경기,의왕시,0.0021685631441729003
223,경남 밀양시,21.0,28.0,38.0,87.0,43959.0,14597.0,0.332059419004072,경남,밀양시,0.002119831388124071
114,강원 삼척시,22.0,36.0,28.0,86.0,29243.0,10647.0,0.36408713196320486,강원,삼척시,0.0020954655100996564
155,충남 홍성군,30.0,36.0,16.0,82.0,40135.0,12573.0,0.31326772144013953,충남,홍성군,0.001998001998001998
26,부산 서구,22.0,23.0,34.0,79.0,46391.0,15965.0,0.3441400271604406,부산,서구,0.0019249043639287542
111,강원 동해시,22.0,41.0,16.0,79.0,35990.0,10054.0,0.2793553764934704,강원,동해시,0.0019249043639287542
148,충남 논산시,30.0,14.0,32.0,76.0,48460.0,15346.0,0.3166735451919109,충남,논산시,0.0018518067298555103
25,부산 중구,27.0,15.0,30.0,72.0,20468.0,8609.0,0.4206077779949189,부산,중구,0.001754343217757852
156,충남 예산군,21.0,24.0,26.0,71.0,31878.0,9251.0,0.29020013802622496,충남,예산군,0.0017299773397334373
118,강원 평창군,19.0,25.0,26.0,70.0,17269.0,5732.0,0.33192425733974174,강원,평창군,0.0017056114617090227
27,부산 동구,19.0,19.0,26.0,64.0,37308.0,12890.0,0.34550230513562774,부산,동구,0.001559416193562535
166,전북 완주군,27.0,14.0,22.0,63.0,37708.0,12182.0,0.3230614193274637,전북,완주군,0.0015350503155381204
28,부산 영도구,18.0,24.0,20.0,62.0,51910.0,16617.0,0.32011173184357544,부산,영도구,0.0015106844375137058
119,강원 정선군,17.0,25.0,20.0,62.0,15347.0,5128.0,0.33413696487912947,강원,정선군,0.0015106844375137058
87,경기 과천시,18.0,19.0,24.0,61.0,21211.0,4119.0,0.19419169298948658,경기,과천시,0.0014863185594892912
201,경북 영주시,10.0,24.0,26.0,60.0,44582.0,13937.0,0.3126149567089857,경북,영주시,0.0014619526814648766
115,강원 홍천군,16.0,22.0,20.0,58.0,27220.0,8349.0,0.3067229977957384,강원,홍천군,0.0014132209254160474
202,경북 영천시,13.0,19.0,26.0,58.0,40947.0,13450.0,0.32847339243412216,경북,영천시,0.0014132209254160474
