,loc1,loc2,name,location,loc
7533,경북,포항시,흥해마산점,"경상북도 포항시 북구 흥해읍 동해대로 1562, (마산리)",경북 포항시
7534,경북,포항시,흥해신로터리점,경상북도 포항시 북구 흥해읍 흥해로 45-10,경북 포항시
7535,경북,포항시,흥해희망점,"경상북도 포항시 북구 흥해읍 동해대로 1473, (옥성리)",경북 포항시
7536,서울,강남구,ＣＶＳ상품,"서울특별시 강남구 테헤란로98길 15, (대치동)",서울 강남구
7537,전북,군산시,1타타대우상용차신협,"전라북도 군산시 동장산로 172, (소룡동)",전북 군산시
7538,전북,군산시,2타타대우상용차신협,"전라북도 군산시 동장산로 172, (소룡동)",전북 군산시
7539,서울,강북구,419사거리점,"서울특별시 강북구 삼양로139길 8, (우이동)",서울 강북구
7540,서울,영등포구,63빌딩점,"서울특별시 영등포구 63로 50, 하(여의도동) 1층",서울 영등포구
7541,인천,남구,6공단1호점,인천광역시 남구 장고개로 48 믿음슈퍼,인천 남구
7542,인천,남구,6공단2호점,인천광역시 남구 염전로 241,인천 남구
7543,경북,울진군,7번국도점,"경상북도 울진군 후포면 후포삼율로 260, (후포리)",경북 울진군
7544,서울,강서구,88체육관점,"서울특별시 강서구 공항대로 376, 체육관 1체육관 內(화곡동) 88호",서울 강서구
7545,서울,강서구,901개화역점,"서울특별시 강서구 개화동로8길 38, (개화동)",서울 강서구
7546,서울,강서구,902김포공항점,"서울특별시 강서구 하늘길 77, (방화동)",서울 강서구
7547,서울,강서구,903공항시장역점,"서울특별시 강서구 방화동로 30, (공항동) 지하층",서울 강서구
7548,서울,강서구,904신방화역점,"서울특별시 강서구 방화대로 301, (방화동) 지하층",서울 강서구
7549,서울,강서구,905마곡나루역점,"서울특별시 강서구 마곡중앙5로 2, (마곡동) 지하층",서울 강서구
7550,서울,강서구,906양천향교역점,"서울특별시 강서구 양천로 341, (가양동) 지하층",서울 강서구
7551,서울,강서구,907가양역점,"서울특별시 강서구 양천로 485, (가양동) 지하층",서울 강서구
7552,서울,강서구,908증미역점,"서울특별시 강서구 양천로 560, (등촌동) 지하층",서울 강서구
7553,서울,강서구,909등촌역점,"서울특별시 강서구 공항대로 529, (등촌동) 지하층",서울 강서구
7554,서울,강서구,910염창역점,"서울특별시 강서구 공항대로 631, (염창동) 지하층",서울 강서구
7555,서울,양천구,911신목동역점,"서울특별시 양천구 목동중앙로 217, (목동) 지하층",서울 양천구
7556,서울,영등포구,912선유도역점,"서울특별시 영등포구 양평로 124, (양평동5가) 지하층",서울 영등포구
7557,서울,영등포구,913당산역점,"서울특별시 영등포구 양평로 40, (당산동6가) 지하층",서울 영등포구
7558,서울,영등포구,914국회의사당역점,"서울특별시 영등포구 국회대로 758, (여의도동) 지하층",서울 영등포구
7559,서울,영등포구,915여의도역점,"서울특별시 영등포구 의사당대로 101, (여의도동) 지하층",서울 영등포구
7560,서울,영등포구,916샛강역점,"서울특별시 영등포구 의사당대로 166, (여의도동) 지하층",서울 영등포구
7561,서울,동작구,917노량진역점,"서울특별시 동작구 노량진로 130, (노량진동) 지하층",서울 동작구
7562,서울,동작구,918노들역점,"서울특별시 동작구 노량진로 238, (본동) 지하층",서울 동작구
7563,서울,동작구,919흑석역점,"서울특별시 동작구 현충로 90, (흑석동) 지하층",서울 동작구
7564,서울,동작구,920동작역점,"서울특별시 동작구 현충로 220, (동작동) 지하층",서울 동작구
7565,서울,서초구,921구반포역점,"서울특별시 서초구 신반포로 17, (반포동) 지하층",서울 서초구
7566,서울,서초구,922신반포역점,"서울특별시 서초구 신반포로 105, (반포동) 지하층",서울 서초구
7567,서울,서초구,923고속터미널역점,"서울특별시 서초구 신반포로 188, (반포동) 지하층",서울 서초구
7568,서울,서초구,924사평역점,"서울특별시 서초구 사평대로 285, (반포동) 지하층",서울 서초구
7569,서울,강남구,925신논현역점,"서울특별시 강남구 봉은사로 102, (역삼동) 지하층",서울 강남구
7570,경기,광주시,BGF곤지암포켓점,경기도 광주시 곤지암읍 건업길 92 (건업리),경기 광주시
7571,경기,용인시,BGF로지스용인점,"경기도 용인시 기흥구 이현로30번길 131-1, (보정동)",경기 용인시
7572,경기,용인시,BGF수지포켓점,경기도 용인시 수지구 손곡로 31 삼양식품물류센타 (동천동) 삼양식품물류센타,경기 용인시
7573,경기,양주시,BGF양주포켓점,경기도 양주시 백석읍 양주산성로 572 (복지리),경기 양주시
7574,전북,완주군,BGF푸드포켓점,전라북도 완주군 봉동읍 완주산단2로 282-21 (둔산리),전북 완주군
7575,서울,영등포구,CK양평점,서울특별시 영등포구 영등포로3길 16,서울 영등포구
7577,경기,고양시,EBS일산사옥점,"경기도 고양시 일산동구 한류월드로 281, (장항동)",경기 고양시
7578,충북,제천시,ES충주호리조트점,"충청북도 제천시 수산면 옥순봉로 1248, (능강리)",충북 제천시
7579,서울,송파구,JJ가락점,"서울특별시 송파구 송이로27길 6, (가락동)",서울 송파구
7580,서울,강남구,JJ삼성점,"서울특별시 강남구 선릉로126길 14, (삼성동)",서울 강남구
7581,서울,송파구,JJ올림픽점,"서울특별시 송파구 양재대로 1222, 방이동 (방이동)",서울 송파구
7582,서울,서초구,JW타워점,"서울특별시 서초구 남부순환로 2477, JWTOWER (서초동)",서울 서초구
7583,전북,전주시,KCC스위첸점,전라북도 전주시 덕진구 오송1길 37-13,전북 전주시
7584,서울,서대문구,KH독립문주유소점,서울특별시 서대문구 통일로 384 독립문주유소,서울 서대문구
7585,강원,양양군,KORAIL연수원점,"강원도 양양군 강현면 동해대로 3457, (정암리)",강원 양양군
7586,경기,광명시,KTX광명점,"경기도 광명시 신기로17번길 3, 서원빌딩 (일직동)",경기 광명시
7587,대구,중구,KT스마트메디타워점,"대구광역시 중구 동덕로 167, (동인동2가) 1층",대구 중구
7588,서울,영등포구,KT지식센터점,"서울특별시 영등포구 영신로 220, (영등포동8가) 1층 104호",서울 영등포구
7589,경기,파주시,LG로점,"경기도 파주시 월롱면 엘지로 248, (덕은리)",경기 파주시
7590,서울,강남구,M강남역점,"서울특별시 강남구 테헤란로 101, 강남역구내상가 번호(역삼동)",서울 강남구
7591,서울,광진구,M건대입구역점,"서울특별시 광진구 아차산로 243, 구내상가 번호 04 선 건대입구역(화양동) 212동 2호",서울 광진구
7592,서울,광진구,M구의역점,"서울특별시 광진구 아차산로 384-1, 구내상가 번호 01 선 구의역(구의동)",서울 광진구
7593,서울,강북구,M미아역점,"서울특별시 강북구 도봉로 200, 선미아역구내상가 번호 05(미아동)",서울 강북구
7594,서울,구로구,M신도림역점,"서울특별시 구로구 새말로 117-21, 구내상가 번호(신도림동)",서울 구로구
7595,서울,마포구,M신촌역점,"서울특별시 마포구 신촌로 90, 구내상가 번호(노고산동)",서울 마포구
7596,서울,서초구,M양재역점,"서울특별시 서초구 남부순환로 2585, 선양재역구내상가 번호08(서초동)",서울 서초구
7597,서울,강남구,M역삼역점,"서울특별시 강남구 테헤란로 156, 구내상가 번호 역삼역(역삼동)",서울 강남구
7598,서울,송파구,M잠실롯데타워점,서울특별시 송파구 올림픽로 305 잠실역8호선,서울 송파구
7599,서울,송파구,M잠실역점,"서울특별시 송파구 올림픽로 265, 서울메트로 2호선 잠실역(잠실동) 지하층 216동 02호",서울 송파구
7600,서울,송파구,M종합운동장역점,"서울특별시 송파구 올림픽로 23, 서울메트로 2호선(잠실동) 지하층 218동 02호",서울 송파구
7601,서울,서대문구,M홍제역점,"서울특별시 서대문구 통일로 440-1, 선홍제역 지하(홍제동)",서울 서대문구
7602,경기,성남시,NHN내츄럴스토어점,"경기도 성남시 분당구 불정로 6, 엔에치엔주식회사 주식회사(정자동)",경기 성남시
7603,서울,양천구,SBS목동신사옥점,"서울특별시 양천구 목동서로 161, S방송센터 SB 내(목동)",서울 양천구
7604,서울,동작구,SK21세기주유소점,"서울특별시 동작구 시흥대로 616, (신대방동)",서울 동작구
7605,대전,대덕구,SK4공단주유소점,"대전광역시 대덕구 대덕대로 1412, SK4공단 주유소(신일동)",대전 대덕구
7606,서울,양천구,SKKOREA주유소점,"서울특별시 양천구 신목로7길 1, (신정동)",서울 양천구
7607,경북,칠곡군,SK가산IC주유소점,"경상북도 칠곡군 가산면 송신로 113, (천평리)",경북 칠곡군
7608,서울,강서구,SK가양주유소점,"서울특별시 강서구 강서로 498, (가양동)",서울 강서구
7609,경기,고양시,SK강매주유소점,"경기도 고양시 덕양구 중앙로 316, 도내동주유소 (도내동)",경기 고양시
7610,부산,사상구,SK강변주유소점,"부산광역시 사상구 낙동대로 1274, SK주유소 (삼락동)",부산 사상구
7611,인천,강화군,SK강화경기주유소점,"인천광역시 강화군 선원면 중앙로 233, (창리)",인천 강화군
7612,강원,춘천시,SK개나리주유소점,"강원도 춘천시 퇴계로 231, (석사동)",강원 춘천시
7613,경기,평택시,SK경기주유소점,"경기도 평택시 송탄로 81, (장당동)",경기 평택시
7614,경북,경산시,SK경산주유소점,"경상북도 경산시 진량읍 대학로 1021, (신상리)",경북 경산시
7615,경기,평택시,SK경원주유소점,"경기도 평택시 경기대로 1602, (독곡동)",경기 평택시
7616,경기,수원시,SK고속세차주유소점,"경기도 수원시 영통구 중부대로 384, 수원고속주유소 (매탄동) 1층",경기 수원시
7617,경기,용인시,SK고속주유소점,"경기도 용인시 수지구 포은대로 95, (상현동)",경기 용인시
7618,경기,안산시,SK고잔주유소점,"경기도 안산시 단원구 적금로 114, (고잔동)",경기 안산시
7619,인천,남동구,SK공단1주유소점,"인천광역시 남동구 남동대로 357, (남촌동)",인천 남동구
7620,인천,남동구,SK공단2주유소점,"인천광역시 남동구 앵고개로 463, (고잔동)",인천 남동구
7621,경기,수원시,SK광교충전소점,"경기도 수원시 영통구 광교호수로 101, (하동)",경기 수원시
7622,서울,성북구,SK광덕주유소점,"서울특별시 성북구 보문로 89, (보문동5가) 1층",서울 성북구
7623,경기,광명시,SK광명삼성주유소점,"경기도 광명시 범안로 925, (하안동)",경기 광명시
7624,광주,북구,SK광주OK주유소점,"광주광역시 북구 하남대로 691, SK광주OK주유소 (동림동)",광주 북구
7625,부산,사하구,SK괴정주유소점,"부산광역시 사하구 사하로 129, (괴정동)",부산 사하구
7626,경기,용인시,SK구성신도시주유소점,"경기도 용인시 기흥구 용구대로 2381, (마북동)",경기 용인시
7627,경기,시흥시,SK군자주유소점,"경기도 시흥시 도일로 146, (거모동)",경기 시흥시
7628,경남,창원시,SK극동주유소점,"경상남도 창원시 마산회원구 삼호로 258, (석전동)",경남 창원시
7629,경기,용인시,SK기흥톨게이트주유소,"경기도 용인시 기흥구 삼성2로 34, (농서동)",경기 용인시
7630,서울,강동구,SK길동고속주유소점,"서울특별시 강동구 천호대로 1084, (성내동)",서울 강동구
7631,경기,김포시,SK김포주유소점,"경기도 김포시 김포대로 970, (북변동)",경기 김포시
7632,대구,달서구,SK남대구IC주유소점,"대구광역시 달서구 성서공단로 372, (월성동)",대구 달서구
7633,서울,양천구,SK남부셀프주유소점,"서울특별시 양천구 남부순환로 553, 남부셀프주유소 (신월동)",서울 양천구
7634,경기,오산시,SK남촌주유소점,"경기도 오산시 청학로 4, (가수동)",경기 오산시
7635,서울,노원구,SK노원역주유소점,"서울특별시 노원구 노해로75길 20-25, (상계동)",서울 노원구
7636,대전,유성구,SK노은주유소점,"대전광역시 유성구 노은동로 79, (노은동)",대전 유성구
7637,인천,남동구,SK논현제일주유소점,"인천광역시 남동구 청능대로 460, (고잔동)",인천 남동구
7638,대구,서구,SK대구합천주유소점,"대구광역시 서구 염색공단천로 78, (비산동)",대구 서구
7639,서울,광진구,SK대명주유소점,"서울특별시 광진구 광나루로 460, (화양동)",서울 광진구
7640,충남,아산시,SK대성주유소점,"충청남도 아산시 온천대로 1660, SK대성주유소 (풍기동)",충남 아산시
7641,울산,북구,SK대양충전소점,"울산광역시 북구 산업로 1454, (신천동)",울산 북구
7642,서울,서초구,SK대우셀프주유소점,서울특별시 서초구 양재대로 173 톨게이트주유소,서울 서초구
7643,경기,고양시,SK대자셀프주유소점,경기도 고양시 덕양구 통일로 499 대자주유소,경기 고양시
7644,대전,대덕구,SK대전OK주유소점,"대전광역시 대덕구 대전로 1312, SK대전OK주유소 (읍내동)",대전 대덕구
7645,대전,서구,SK대전청사주유소점,"대전광역시 서구 대덕대로 188, SK대전청사 주유소(둔산동)",대전 서구
7646,경기,수원시,SK대호주유소점,"경기도 수원시 영통구 창룡대로 442, (이의동)",경기 수원시
7647,경기,고양시,SK덕양제2주유소점,경기도 고양시 일산서구 경의로 940,경기 고양시
